item_name,quantity,unitprice,cost,category
BANANAS,0.41,0.49,0.2,produce
FRAP,1,5.48,5.48,beverages
R-CARROTS SHREDDED 10 OZ,1,1.29,1.29,produce
R-CUCUMBERS PERSIAN 1 LB,1,1.99,1.99,produce
TOMATOES CRUSHED NO SALT,1,1.59,1.59,produce
TOMATOES WHOLE NO SALT W/BASIL,1,1.59,1.59,produce
ORGANIC OLD FASHIONED OATMEAL,1,2.29,2.29,grains_and_bakery
MINI-PEARL TOMATOES,1,2.49,2.49,produce
PKG SHREDDED MOZZARELLA LITE T,1,3.79,3.79,dairy
SPROUTED BROWN BREAD,1,2.99,2.99,grains_and_bakery
R-AVOCADOS HASS BAG 4CT,1,3.99,3.99,produce
A-APPLE BAG JAZZ 2 LB,1,2.69,2.69,produce
A-PEPPER BELL EACH XL RED,1,0.99,0.99,produce
BANANAS ORGANIC,1,0.87,0.87,produce
CREAMY SALTED PEANUT BUTTER,1,2.49,2.49,condiments_and_spices
WHL WHT PITA BREAD,1,1.38,1.38,grains_and_bakery
PL TORTILLA’S,1,6.99,6.99,grains_and_bakery
CAGE FREE ALL WHIT,1,3.69,3.69,dairy
BLACK BEANS,1,1.29,1.29,produce
Frozen Mangoes 16o,1,2.99,2.99,produce
Whole Strawberries,1,3.99,3.99,produce
OG LF COTTAGE CHEE,1,3.49,3.49,dairy
MAHI MAHI FILLETS,1,8.99,8.99,chicken_and_meat
California Harvest,1,2.69,2.69,produce
PLUMS BLACK CV,1,2.15,2.15,produce
NHP SLICED OVEN RO,1,3.99,3.99,chicken_and_meat
NHP SLICED HICKORY,1,3.99,3.99,chicken_and_meat
GALA APPLES OG,1,3.26,3.26,produce
DIABETES,1,12.58,12.58,misc
6 WING PLATE,1.0,3.98,3.98,chicken_and_meat
ASST 27,1.0,4.88,4.88,misc
CUTIE CAR,1.0,12.88,12.88,misc
GV WATER,1,0.8,0.8,beverages
GREAT VALUE,1,2.88,2.88,misc
GRAIN LIFE,1,3.88,3.88,misc
GV VEG OIL,1,1.98,1.98,condiments_and_spices
SNICKER FS,1,0.88,0.88,snacks_and_sweets
COBBFR FS 6PK,1,2.97,2.97,snacks_and_sweets
MIXED CHOC,1,5.0,5.0,snacks_and_sweets
CHERRIES,1,2.97,2.97,produce
GAIN,1,10.97,10.97,health_and_personal_care
HY RSTILEG PM,1,19.97,19.97,health_and_personal_care
BATTERIES,1,8.97,8.97,misc
GV 202 MINI,1,1.98,1.98,misc
CRNBRY SAUCE,1,0.94,0.94,condiments_and_spices
CHERRIES,1,2.97,2.97,produce
EGGS 6CT,1,1.94,1.94,dairy
GRILL COVER,1,14.97,14.97,misc
FIBER CHOICE,1,12.94,12.94,misc
CELERY HEART,1,2.28,2.28,produce
RED GRAPE,2.51,2.46,3.61,produce
GV OATMEAL,1,1.76,1.76,grains_and_bakery
OT 20OZ TUM,1,3.84,3.84,snacks_and_sweets
M ATHLETICS,1,24.97,24.97,misc
DEXAS 15X20,1,12.97,12.97,misc
TATER TOTS,1,2.96,2.96,snacks_and_sweets
SNACK BARS,1,5.98,5.98,snacks_and_sweets
HRI CL CHS,1,5.98,5.98,dairy
HRI CL CHS,1,5.88,5.88,dairy
HRB GOU CHDDR,1,5.88,5.88,dairy
SC BK THINBAR,1,5.88,5.88,snacks_and_sweets
IBS CH DR P BUN,1,2.98,2.98,snacks_and_sweets
APPLE 3 BAG,1,2.96,2.96,produce
PEANUT BUTTR,1,5.48,5.48,condiments_and_spices
ROLLS,1,1.28,1.28,grains_and_bakery
BTS DRY BLON,1,1.0,1.0,misc
GALE,1,32.0,32.0,misc
TR HS FRM 4,1,2.94,2.94,snacks_and_sweets
BAGELS,1,2.5,2.5,grains_and_bakery
GV SLIDERS,1,2.98,2.98,snacks_and_sweets
ACCESSORY,1,1.0,1.0,misc
CHEEZE IT,1,4.0,4.0,snacks_and_sweets
RITZ W5 4.54,1,2.78,2.78,snacks_and_sweets
RUFFLES,1,2.78,2.78,snacks_and_sweets
GV HNY GRMS,1,2.5,2.5,snacks_and_sweets
ST# 01966 OP# 002033 TE# 20 TR# 05145,1,6.94,6.94,misc
KTTL SEA SALT POT CHP,1,1.29,1.29,snacks_and_sweets
BRAIDED BRIOCHE,1,6.99,6.99,grains_and_bakery
CHEF PLATE MEAL,2,10.0,20.0,misc
Woman,1,0.0,0.0,misc
Ham Cheese,2,74000.0,148000.0,chicken_and_meat
Ice Java Tea,1,16000.0,16000.0,beverages
Mineral Water,1,13000.0,13000.0,beverages
Black & White,1,72000.0,72000.0,misc
6 WING PLATE,1,3.98,3.98,chicken_and_meat
ASST 27,1,4.88,4.88,misc
CUTIE CAR,1,12.88,12.88,misc
FF BS BREAST,2.0,23.99,23.99,chicken_and_meat
KS DICED TOM,1.0,6.49,6.49,produce
JACKORGSALSA,1.0,2.97,2.97,condiments_and_spices
18CT EGGS,3.0,4.29,12.87,dairy
GRAPE TOMATO,1.0,6.29,6.29,produce
ECO HALF PAN,1.0,6.49,6.49,produce
GRND TURKEY,1.0,18.47,18.47,chicken_and_meat
CHPD ONION,1.0,3.59,3.59,produce
MONT JACK 2#,1.0,4.45,4.45,dairy
N/YORK TX GRLC,1,2.18,2.18,produce
CHICKEN WINGS,2,5.94,11.88,chicken_and_meat
PICSWEET BLEND,1,5.39,5.39,produce
PICSWEET GREENS,2,2.56,5.12,produce
DIET LN GRND B,2,5.96,11.92,beverages
DRUMSTICKS,1,5.96,5.96,chicken_and_meat
TENDERBRD CHIX BR,1,5.98,5.98,chicken_and_meat
KRAFT DELUXE MAC,2,1.82,3.64,misc
L/D NUTTY BARS,2,1.0,2.0,snacks_and_sweets
L/D OATMEAL CRM,2,1.0,2.0,snacks_and_sweets
KEEB TOWNHOUSE,1,2.56,2.56,snacks_and_sweets
TURKEY FRANK,1,0.88,0.88,chicken_and_meat
RESERS POT SLD,2,1.96,3.92,produce
DM SPAG SAUCE,2,0.82,1.64,condiments_and_spices
HUNTS MANWICH,2,0.82,1.64,snacks_and_sweets
DM PNAPL CHNKY,2,0.98,1.96,misc
SUNBEAN BUNS,1,1.98,1.98,grains_and_bakery
WINCO SANDWICH WT,1,2.58,2.58,grains_and_bakery
WINCO HOMO MILK,1,3.58,3.58,dairy
EGGS,1,2.28,2.28,dairy
