image_path,text,label
./data/receipts/groceries\0.jpg,"WAL*MART

ALWAYS LOW PRICES.

woe

SUPERCENTER
OPEN 24 HOURS
MANAGER . TBA
(515 ) 986 - 1783
S1# 5748 OPH 00000158 TE# 14 TRH 03178
BANANAS 00000000401 1kF
0.41 Ib @ 1 Ib /0.49 0.20 N
FRAP 001200010451 F 5.48 N
DISCOUNT GIVEN 0.57
| SUBIQIA. =.
5
yo CASH TEND 1100
CHANGE DUE “5 gg

","{""location"": ""Unknown"", ""shop"": ""WALMART"", ""datetime"": ""Unknown"", ""items"": [{""name"": ""bananas"", ""quantity"": 0.41, ""unitprice"": 0.49, ""amount"": 0.2, ""category"": ""produce""}, {""name"": ""frap"", ""quantity"": 1, ""unitprice"": 5.48, ""amount"": 5.48, ""category"": ""beverages""}], ""discount"": 0.57, ""total"": 5, ""cash_tend"": 11, ""change_due"": 6}"
./data/receipts/groceries\1.jpg,"“TRADER JOE'S

2001 Greenville Ave
Dallas TX 75206
Store #403 - (469) 334-0614

OPEN 8:00AM TO 9:00PM DAILY

R-CARROTS SHREDDED 10 OZ
R-CUCUMBERS PERSIAN 1 LB
TOMATOES CRUSHED NO SALT
TOMATOES WHOLE NO SALT W/BASIL
ORGANIC OLD FASHIONED OATMEAL
MINI-PEARL TOMATOES...
PKG SHREDDED MOZZARELLA LITE T
EGGS 1 002 ORGANIC BROWN.
BEANS GARBANZO
SPROUTED CA STYLE
A-AVOCADOS HASS BAG ACT
A-APPLE BAG JAZZ 2 LB
A-PEPPER BELL EACH XL RED
GROCERY NON TAXABLE

2 @ 0.49
BANANAS ORGANIC

3FA —«@ 0.29/EA
CREAMY SALTED PEANUT BUT TER
WHL WHT PITA BREAD
GROCERY NON TAXABLE

2 @ 0.69

WoOwONNH =
Dinm io Rmininioly
BSSESSSEES

SUBTOTAL 3
TOTAL $38.68
CASH $40.00
CHANGE $1.32

ITEMS 22 Higgins, Ryan
06-28-2014 12:34PM 0403 04 1346 4683

THANK YOU FOR SHOPPING AT
TRADER JOE'S
ww. traderjoes .com

","{""location"": ""2001 Greenville Ave, Dallas TX 75206"", ""shop"": ""TRADER JOE'S"", ""datetime"": ""06/28/14 12:34PM"", ""items"": [{""name"": ""R-CARROTS SHREDDED 10 OZ"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""R-CUCUMBERS PERSIAN 1 LB"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""TOMATOES CRUSHED NO SALT"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""TOMATOES WHOLE NO SALT W/BASIL"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""ORGANIC OLD FASHIONED OATMEAL"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""grains_and_bakery""}, {""name"": ""MINI-PEARL TOMATOES"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""PKG SHREDDED MOZZARELLA LITE T"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""dairy""}, {""name"": ""EGGS 1002 ORGANIC BROWN"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""dairy""}, {""name"": ""BEANS GARBANZO"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""SPROUTED CA STYLE"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""grains_and_bakery""}, {""name"": ""A-AVOCADOS HASS BAG ACT"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""A-APPLE BAG JAZZ 2 LB"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""A-PEPPER BELL EACH XL RED"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""BANANAS ORGANIC"", ""quantity"": 2, ""unitprice"": 0.49, ""amount"": 0.98, ""category"": ""produce""}, {""name"": ""CREAMY SALTED PEANUT BUTTER"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""condiments_and_spices""}, {""name"": ""WHL WHT PITA BREAD"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""grains_and_bakery""}], ""total"": 38.68}"
./data/receipts/groceries\10.jpg,"Thank

Ple
You

etain
pping

ip
Jith Us! :)

r Bergyille

","{""location"": ""Bergyille"", ""shop"": ""Unknown"", ""datetime"": null, ""items"": [], ""total"": 0.0}"
./data/receipts/groceries\11.jpg,"WHOLE
FOODS

SHARON RD.

PL TORTILLA’S 6.
CAGE FREE ALL WHIT 3
BLACK BEANS 1

Frozen Mangoes 160 2
Whole Strawberries 2
0G LF COTTAGE CHEE a
8

2

2

*
«

MAHI MAHI FILLETS

*vC $2 off (1) WC Fill

« California Harvest

1.08 Ib @ 1.99 /Ib TARE =
UT PLUMS BLACK CV 2.
ITEM =

NHP SLICED OVEN RO

NHP SLICED HICKORY
1°64) Thee ieo2e 7b TARE 01
UT GALA APPLES OG 3.26 B

ITEM = 94135

45.44
","{""shop"": ""WHOLE FOODS"", ""location"": ""SHARON RD."", ""items"": [{""name"": ""PL TORTILLA'S"", ""quantity"": 1, ""category"": ""grains_and_bakery""}, {""name"": ""CAGE FREE ALL WHITE"", ""quantity"": 1, ""category"": ""dairy""}, {""name"": ""BLACK BEANS"", ""quantity"": 1, ""category"": ""produce""}, {""name"": ""Frozen Mangoes"", ""quantity"": 2, ""category"": ""produce""}, {""name"": ""Whole Strawberries"", ""quantity"": 2, ""category"": ""produce""}, {""name"": ""OG LF COTTAGE CHEESE"", ""quantity"": 1, ""category"": ""dairy""}, {""name"": ""MAHI MAHI FILLETS"", ""quantity"": 1, ""category"": ""chicken_and_meat""}, {""name"": ""UT PLUMS BLACK CV"", ""quantity"": 1, ""category"": ""produce""}, {""name"": ""NHP SLICED OVEN ROAST"", ""quantity"": 1, ""category"": ""chicken_and_meat""}, {""name"": ""NHP SLICED HICKORY"", ""quantity"": 1, ""category"": ""chicken_and_meat""}, {""name"": ""UT GALA APPLES OG"", ""quantity"": 3.26, ""category"": ""produce""}], ""total"": 45.44}"
./data/receipts/groceries\12.jpg,"WAL*MART

Save money. Live better.

WE SELL FOR LESS
ALWAYS
MANAGER DAPHNE SESSION
ne 636 ) 536 - rea
IESTERFIELD, MO 6
By 2600"" OFF 00001855 Tee - TRE Cr

W FIGURES 065356920144 6.63
FOOTHBRUSH URL Sa ie aad ey 3 X
WOMEN SLIPPE CE ope x

7.4)
TAX 4 3 S160 qe 0.54
TAX 3 4.350% O36
TOTAL 18.75
MCARD TEND 18.75

ACCOUNT #3546
APPROVAL #007190
TRAN:

RANS ID -
VALIDATION -
PAYMENT SERVICE - A
CHANGE DUE 0.00

# ITEMS SOLD 3

iN 4

Wal-Mart exclusiv :
available ee stn
10/20/07 13:48:43

###CUSTOMER COPY###

","{""shop"": ""WALMART"", ""location"": ""CHESTERFIELD, MO"", ""datetime"": ""10/20/07 13:48:43"", ""items"": [{""name"": ""FOOTHBRUSH"", ""quantity"": 1, ""unitprice"": 6.63, ""amount"": 6.63, ""category"": ""health_and_personal_care""}, {""name"": ""WOMEN SLIPPER"", ""quantity"": 1, ""unitprice"": 7.14, ""amount"": 7.14, ""category"": ""misc""}], ""tax"": 0.9, ""total"": 18.75, ""payment_method"": ""MCARD"", ""change_due"": 0.0}"
./data/receipts/groceries\13.jpg,"TD i A ASWOVBKCH

Walmart >/<.

Save money. Live better.

( B43) 292
MANAGER MICHAEL
2014 S IRBY ST

FLORE
S14 02/03 OPH 005049. 11
GIFT CARD 087458604: 50,00 0
SUBIO! AL 90.00
TOTAL 50.00,

CASH TN) 60.60
CHANGE UE 10.06

SHOP CAR ACTIVATION 50,00
ACCOUNT 613968545249 /29 +

APPR. CODE — 792986,

REF HOuua7A2

Beg Bal tran Amt End Bal
0.00 50.09) 50.00
O/T 17 19:19:31

ICH 9736 5895 92387 0933 1992

LATTA

Low Prices You Catt Trust. Every Day.
OORT 19:22:40)

Store receipts o1 your noone. Walmart P
ay.

","{""shop"": ""Walmart"", ""location"": ""2014 S IRBY ST"", ""datetime"": ""02/03/21 19:19:31"", ""items"": [{""name"": ""Gift Card"", ""quantity"": 1, ""unitprice"": 50.0, ""amount"": 50.0, ""category"": ""misc""}], ""total"": 50.0}"
./data/receipts/groceries\14.jpg,"See back of receipt for your chance
to win $1000

ID #:  7LORX4K8PUX

ae
Walmart 2,5.

Save money. Live better.

D
BLVI

:

ST# 01595 OP# 007573 TES
EQUATE LINER 068113186503
WFUS ENG POM 005100024543 F
DAWN ORIG 00370001 1045
BOYD PKGTAPE 007535307841
BOYD PKGTAPE 007535307841
LINT ROLLER2 005114123488
SUBTOTAL
Tax 1 7.000 %
TOTAL
DEBIT TEND
CHANGE DUE

ms
10
7 S05 00

Bas
con
>

RR Ro

ee
SSSu
:

EFT DEBIT PAY FROM PRIMARY
26.60 TOTAL PURCHASE
ACCOUNT # yee weer jaeee $371 Ss
REF # 712400283994
NETWORK ID. 0069 APPR CODE 868483
TERMINAL # SCO10087
05/04/17 19:54:16
# ITEMS SOLD 6
ul vii wil wu
05/04/17 19:54:18
Store receipts on your phone. Valmart P
ay.

","{""location"": null, ""shop"": ""Walmart"", ""datetime"": ""05/04/17 19:54:16"", ""items"": [{""name"": ""equate liner"", ""quantity"": 1, ""unitprice"": null, ""amount"": null, ""category"": ""health_and_personal_care""}, {""name"": ""wfus eng pom"", ""quantity"": 1, ""unitprice"": null, ""amount"": null, ""category"": ""beverages""}, {""name"": ""dawn orig"", ""quantity"": 1, ""unitprice"": null, ""amount"": null, ""category"": ""misc""}, {""name"": ""boyd pkg tape"", ""quantity"": 2, ""unitprice"": null, ""amount"": null, ""category"": ""misc""}, {""name"": ""lint roller"", ""quantity"": 2, ""unitprice"": null, ""amount"": null, ""category"": ""health_and_personal_care""}], ""total"": 26.6}"
./data/receipts/groceries\15.jpg,"re

v
Foe htek of of receipt for your chant /

TD &: — qJyy2uuoKsy Ags

mee
Walmart >)<
Save money: Live better+ Fr.
© 714 2.799 = 0020 ioe!
Y THOMAS ‘4
st Meas Hy a

STS 02495 mevunatey TES. iid

Dinweres 68113131172 ww ;
ie
Visa TEND 3110

Credit awn annx wx 3670 11 Mt

AePROvaLs 222238 |
REF & 620800604

TRANS ID ~ Béegae 25884060
VALIDATION .
PAYMENT Stevie = -E ob

AID A0000000031010
TC 9EOFACSABO9ESD92
TERMINAL # 281767447.
#NO SIGNATURE REQUIRED
07/22/16 20:53:11 {

CHANGE DUE 0.00 |

# ITEMS SOLD1

30129 11

wil wi ii ji

""eotes avers De

ye. ‘aaa COPYHx

‘Ings Catcher! Scan with Wal Inart app
‘ [Oks WS JOH Is,
bioV este

UOY sitar

","{""location"": ""Walmart"", ""datetime"": ""07/22/16 20:53:11"", ""items"": [], ""total"": 0.0}"
./data/receipts/groceries\16.jpg,"See back of receip’
to win $1000
ID #: 7L2T9WJM25F

Walmart >/<.

Save money. Live better.

( 701 ) 223 - 3066
MANAGER TIM MORRIS
2717 ROCK ISLAND PL
BISMARCK ND 58504
ST# 01534 OP# 009048 TE# 48 TRH 04455

6 WING PLATE 020108870398 3.98 P
ASST 27 063099656595 4.88 X
CUTIE CAR 063099656644 12.88 X

SUBTOTAL 21.74

TAX 1 6.500 % 1.15

TAX 4 7.500 % 0.30

TOTAL 23.19
DEBIT TEND 23.19
CHANGE DUE 0.00

EFT DEBIT PAY FROM PRIMARY
23.19 TOTAL PURCHASE
US DEBIT xxKK xxKK xxx 2696 I 0

REF # 731700494718
NETWORK ID. 0081 APPR CODE 936886

US DEBIT

AID A0Q000000980840

TC 58B77239DA5B3B44
*NO SIGNATURE REQUIRED
TERMINAL # SCO11090

11/13/17 12:34:04
# ITEMS SOLD 3
TC# 2188 7274 6444 1567 3762

MUM

ii Low Prices You Can Trust. Every Day.
| 11/13/17 12:34:11
Store receipts on your phone. Walmart P

= |

","{""location"": ""2717 ROCK ISLAND PL, BISMARCK ND 58504"", ""shop"": ""Walmart"", ""datetime"": ""11/13/17 12:34:04"", ""items"": [{""name"": ""6 WING PLATE"", ""quantity"": 1, ""unitprice"": 3.98, ""amount"": 3.98, ""category"": ""chicken_and_meat""}, {""name"": ""ASST 27"", ""quantity"": 1, ""unitprice"": 4.88, ""amount"": 4.88, ""category"": ""snacks_and_sweets""}, {""name"": ""CUTIE CAR"", ""quantity"": 1, ""unitprice"": 12.88, ""amount"": 12.88, ""category"": ""misc""}], ""total"": 23.19}"
./data/receipts/groceries\17.jpg,"See back of receipt for your chance
to win $1000

ID #:  7K2GF1SL2FF

lal!
Walmart >,<

Save money. Live better,
( 970 ) 259 ~ 8755
MANAGER MIKE NEIDLINGER
1165 S CAMINO DEL RIO
DURANGO CO 81303
ST# 02270 OP# 000144 TE# 02 TRH 03080
|ANANAS 00000000401 1KI

%

o
2
a

15 lb @ lb /0..
BEVERAGE 003120002133 F
OH 0031201

0098211 F
AMI 020533960343 F
VOCADO 000000004046KT
4 AT 1 FOR 0.4
PILLS WHITE 068113113619 F
SH NYLON COL 007417024836
HAND CLEANER 004125100005
INJECTR CLNR 004980710003

SUBTOTAL
TAX 1 7,900 *
TAX 2 6.000 %
TAX 5 2.900 %
TOTAL

xxx<2 <<<2=<D27

cam-—ows wow Bw awWWOO:
SSSnxQHSINSa asaexss:

(Sot Se 1,8 BF a ae

ih HUA

OI/IB/IT 14526:03

","{""location"": ""1165 S CAMINO DEL RIO, DURANGO CO 81303"", ""shop"": ""Walmart"", ""datetime"": ""01/18/2021 14:26:03"", ""items"": [{""name"": ""bananas"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""produce""}, {""name"": ""beverage"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""beverages""}, {""name"": ""avocado"", ""quantity"": 4, ""unitprice"": 0.4, ""amount"": 1.6, ""category"": ""produce""}, {""name"": ""pills white"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""health_and_personal_care""}, {""name"": ""sh nylon col"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""misc""}, {""name"": ""hand cleaner"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""health_and_personal_care""}, {""name"": ""injectr clnr"", ""quantity"": 1, ""unitprice"": 0, ""amount"": 0, ""category"": ""health_and_personal_care""}], ""total"": 0}"
